namaste_code,namaste_term,namaste_original_script,namaste_transliteration,namaste_english,namaste_description,synonyms,icd11_code,icd11_term,icd11_description,mapping_equivalence,mapping_confidence,source,status
SAT-A.3203,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,5A11,Type 2 diabetes,Non-insulin dependent diabetes,narrower,0.652,auto,proposed
SAT-E.3204,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,GC08,Chronic kidney disease,Progressive kidney failure,narrower,0.55,auto,curated
SAT-B.3205,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.648,manual,proposed
SAT-F.3206,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,narrower,0.935,auto,approved
SAT-H.3207,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,6A60,Bipolar disorder,Mood cycling disorder,related,0.582,auto,approved
SAT-F.3208,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,FA00,Osteoarthritis,Degenerative joint disease,equivalent,0.822,auto,curated
SAT-A.3209,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,ME84.2,Low back pain,Pain in lower back region,equivalent,0.85,manual,approved
SAT-C.3210,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.809,auto,approved
SAT-I.3211,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,1D00,HIV disease,Human immunodeficiency virus,broader,0.635,auto,curated
SAT-A.3212,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,8A62,Parkinson disease,Progressive neurological disorder,broader,0.54,auto,approved
SAT-E.3213,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1F28,Dermatophytosis,Superficial fungal infection,equivalent,0.863,seed,curated
SAT-E.3214,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,NE70,Open wound,Disruption of skin integrity,broader,0.69,auto,proposed
SAT-E.3215,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,unmapped,0,manual,proposed
SAT-B.3216,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,3A10,Bleeding disorders,Impaired hemostasis,related,0.604,manual,proposed
SAT-J.3217,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,BA00,Hypertensive diseases,Elevated arterial pressure,broader,0.705,manual,curated
SAT-J.3218,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,1B10,Tuberculosis,Mycobacterial infection,narrower,0.7,auto,proposed
SAT-C.3219,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,unmapped,0,manual,proposed
SAT-I.3220,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,BA42,Atrial fibrillation,Irregular heart rhythm,broader,0.625,auto,proposed
SAT-A.3221,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,related,0.7,manual,proposed
SAT-E.3222,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,2A60,Lung cancer,Malignant lung neoplasm,narrower,0.64,auto,proposed
SAT-J.3223,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,EA85,Psoriasis,Chronic skin inflammation,related,0.464,manual,proposed
SAT-J.3224,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,5A10,Type 1 diabetes mellitus,Metabolic disorder,related,0.659,manual,approved
SAT-C.3225,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,1D00,HIV disease,Human immunodeficiency virus,narrower,0.55,seed,proposed
SAT-E.3226,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,equivalent,0.812,auto,curated
SAT-I.3227,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,6A20,Schizophrenia,Psychotic disorder,related,0.654,auto,approved
SAT-I.3228,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,1A00,Cholera,Acute diarrheal infection,related,0.624,seed,approved
SAT-H.3229,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,6B00,Anxiety disorders,Excessive fear or anxiety,broader,0.739,auto,approved
SID-1.9.30,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,2B90,Benign neoplasms,Non-malignant growths,related,0.454,auto,proposed
SID-6.8.31,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.572,auto,curated
SID-3.9.32,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,BB01,Stroke,Cerebrovascular accident,related,0.371,auto,proposed
SID-4.4.33,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,BA42,Atrial fibrillation,Irregular heart rhythm,narrower,0.343,seed,proposed
SID-5.7.34,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,4A01,Lymphadenopathy,Enlarged lymph nodes,equivalent,0.806,manual,curated
UNA-10.8.35,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.62,auto,proposed
UNA-9.3.36,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,related,0.582,manual,approved
UNA-12.7.37,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,1B10,Tuberculosis,Mycobacterial infection,unmapped,0,auto,proposed
UNA-9.2.38,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,2B90,Benign neoplasms,Non-malignant growths,narrower,0.304,auto,proposed
UNA-2.7.39,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,broader,0.703,auto,curated
SAT-J.3240,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,broader,0.923,auto,curated
SAT-E.3241,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,equivalent,0.974,seed,approved
SAT-J.3242,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,8B11,Alzheimer disease,Progressive dementia,broader,0.595,auto,proposed
SAT-E.3243,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,BB01,Stroke,Cerebrovascular accident,narrower,0.7,auto,proposed
SAT-J.3244,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,CA23,Asthma,Chronic inflammatory airway disease,equivalent,0.793,auto,proposed
SAT-I.3245,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,equivalent,0.97,seed,approved
SAT-F.3246,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,NE80,Burns,Thermal injuries,related,0.607,auto,approved
SAT-H.3247,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,NE61,Fractures,Bone breaks,broader,0.467,auto,proposed
SAT-E.3248,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,equivalent,0.829,auto,approved
SAT-J.3249,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,1A00,Cholera,Acute diarrheal infection,broader,0.645,auto,curated
SAT-C.3250,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,narrower,0.665,seed,curated
SAT-A.3251,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,equivalent,0.786,auto,approved
SAT-G.3252,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,unmapped,0,auto,proposed
SAT-I.3253,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,1B10,Tuberculosis,Mycobacterial infection,narrower,0.568,auto,proposed
SAT-B.3254,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,ME84.2,Low back pain,Pain in lower back region,equivalent,0.949,manual,approved
SAT-D.3255,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.81,auto,approved
SAT-A.3256,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,1B20,Leprosy,Chronic infectious disease,equivalent,0.976,auto,curated
SAT-B.3257,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,CA40,Chronic obstructive pulmonary disease,COPD,related,0.457,manual,proposed
SAT-F.3258,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1F28,Dermatophytosis,Superficial fungal infection,equivalent,0.95,seed,approved
SAT-G.3259,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,6A71,Major depression,Severe depressive episode,related,0.429,auto,proposed
SAT-C.3260,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,unmapped,0,seed,proposed
SAT-G.3261,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,FA02,Juvenile arthritis,Childhood joint inflammation,equivalent,0.442,seed,proposed
SAT-F.3262,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,BA00,Hypertensive diseases,Elevated arterial pressure,broader,0.748,manual,approved
SAT-B.3263,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,MF50,Dysuria,Painful or difficult urination,broader,1,seed,approved
SAT-J.3264,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,equivalent,0.816,auto,curated
SAT-F.3265,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,GC80,Urolithiasis,Formation of stones in urinary tract,equivalent,0.965,auto,curated
SAT-I.3266,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,broader,0.822,seed,approved
SAT-I.3267,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,FB52,Osteoporosis,Bone density loss,broader,0.653,auto,approved
SAT-H.3268,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,broader,0.688,auto,curated
SAT-G.3269,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,5A10,Type 1 diabetes mellitus,Metabolic disorder,related,0.717,auto,curated
SAT-G.3270,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,5B81,Overweight or obesity,Excess body fat,equivalent,0.875,auto,curated
SAT-J.3271,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,equivalent,0.912,seed,approved
SAT-F.3272,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,8.00E+40,Peripheral neuropathy,Nerve damage,equivalent,0.472,auto,proposed
SAT-D.3273,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,6D72,Amnesia,Loss of memory function,unmapped,0,manual,proposed
SAT-I.3274,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,6B00,Anxiety disorders,Excessive fear or anxiety,broader,0.668,manual,proposed
SID-9.2.75,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,FA20,Rheumatoid arthritis,Inflammatory joint disease,related,0.694,manual,approved
SID-8.1.76,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,broader,0.66,auto,approved
SID-3.1.77,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,CA25,Chronic respiratory diseases,Long-term airway problems,related,0.693,auto,approved
SID-3.4.78,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,2A00,Malignant neoplasms,Cancerous growth,related,0.645,auto,proposed
SID-1.7.79,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,4A01,Lymphadenopathy,Enlarged lymph nodes,narrower,0.768,manual,proposed
UNA-12.8.80,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.681,seed,proposed
UNA-10.6.81,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,EB90,Urticaria,Allergic skin reaction,related,0.463,manual,proposed
UNA-4.4.82,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,unmapped,0,auto,proposed
UNA-12.7.83,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,6A70,Mood disorders,Depressive conditions,related,0.511,manual,curated
UNA-10.1.84,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,broader,0.801,seed,curated
SAT-B.3285,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,8A25,Gastritis,Inflammation of the gastric mucosa,equivalent,0.833,auto,curated
SAT-I.3286,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,related,0.938,manual,approved
SAT-H.3287,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,8A44,Malabsorption syndromes,Impaired absorption of nutrients,equivalent,0.752,manual,proposed
SAT-H.3288,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,9B71,Haemorrhoids,Swollen veins in the anal canal,unmapped,0,seed,proposed
SAT-B.3289,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,EB90,Urticaria,Allergic skin reaction,broader,0.614,seed,proposed
SAT-I.3290,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,equivalent,0.932,seed,curated
SAT-B.3291,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,MD80,Hiccup,Involuntary contraction of diaphragm,equivalent,0.933,auto,curated
SAT-I.3292,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,CA08,Acute upper respiratory infections,Viral infection of upper airways,broader,0.655,seed,proposed
SAT-C.3293,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8A61,Epilepsy,Recurrent unprovoked seizures,broader,0.958,seed,approved
SAT-I.3294,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,8.00E+40,Peripheral neuropathy,Nerve damage,related,0.646,seed,proposed
SAT-C.3295,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.633,auto,curated
SAT-J.3296,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,CA40,Chronic obstructive pulmonary disease,COPD,equivalent,0.614,manual,approved
SAT-J.3297,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.759,manual,curated
SAT-E.3298,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,FA00,Osteoarthritis,Degenerative joint disease,equivalent,0.961,seed,approved
SAT-C.3299,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,ME84.2,Low back pain,Pain in lower back region,equivalent,0.859,auto,approved
SAT-G.3300,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.849,auto,curated
SAT-G.3301,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,1B20,Leprosy,Chronic infectious disease,equivalent,0.969,auto,curated
SAT-C.3302,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,EA80,Atopic dermatitis,Chronic inflammatory skin disease,related,0.643,auto,proposed
SAT-F.3303,ringworm,दद्रु,dadru,ringworm,Fungal skin infection,tinea|fungal dermatitis,1F28,Dermatophytosis,Superficial fungal infection,unmapped,0,auto,proposed
SAT-F.3304,wound,व्रण,vraṇa,wound,Break in skin continuity,ulcer|sore,NE70,Open wound,Disruption of skin integrity,broader,0.617,auto,proposed
SAT-F.3305,heart disease,हृदरोग,hṛdaroga,heart disease,Cardiac disorders,cardiac disease|heart problems,BA00,Heart diseases,Disorders of the heart,unmapped,0,auto,proposed
SAT-C.3306,bleeding disorders,रक्तप्रदर,raktapradara,bleeding disorders,Excessive bleeding tendency,hemorrhage|bleeding,DA94,Inflammatory bowel disease,Chronic intestinal inflammation,broader,0.525,manual,curated
SAT-D.3307,hypertension,उच्चरक्तचाप,uccaraktacāpa,hypertension,Elevated blood pressure,high BP|arterial hypertension,BA00,Hypertensive diseases,Elevated arterial pressure,broader,0.708,auto,curated
SAT-F.3308,dysuria,मूत्रकृच्छ,mūtrakṛcchra,dysuria,Painful urination,difficult urination|burning micturition,MF50,Dysuria,Painful or difficult urination,equivalent,0.96,seed,approved
SAT-J.3309,urinary retention,मूत्राघात,mūtrāghāta,urinary retention,Inability to empty bladder,retention of urine|anuria,MF52,Retention of urine,Inability to void urine,equivalent,0.968,manual,curated
SAT-C.3310,urinary stones,अश्मरी,aśmarī,urinary stones,Calculi in urinary tract,kidney stones|nephrolithiasis,GC80,Urolithiasis,Formation of stones in urinary tract,equivalent,0.903,auto,approved
SAT-B.3311,menstrual disorders,रजोदोष,rajodoṣa,menstrual disorders,Irregularities in menstruation,menstrual problems|cycle disorders,GA34,Menstrual disorders,Abnormalities of menstruation,broader,0.848,auto,curated
SAT-D.3312,leucorrhea,प्रदर,pradara,leucorrhea,Excessive vaginal discharge,white discharge|vaginal secretion,GA22,Excessive vaginal discharge,Abnormal vaginal discharge,equivalent,0.8,seed,proposed
SAT-B.3313,miscarriage,गर्भस्राव,garbhasrāva,miscarriage,Spontaneous pregnancy loss,abortion|fetal loss,JA00,Pregnancy with abortive outcome,Termination of pregnancy,broader,0.735,manual,proposed
SAT-G.3314,diabetes,प्रमेह,prameha,diabetes,Metabolic disorder with sweet urine,diabetes mellitus|sweet urine,2A60,Lung cancer,Malignant lung neoplasm,narrower,0.484,auto,proposed
SAT-F.3315,obesity,स्थौल्य,sthaulya,obesity,Excessive body weight,overweight|corpulence,5B81,Overweight or obesity,Excess body fat,equivalent,0.817,manual,curated
SAT-I.3316,underweight,कृश,kṛśa,underweight,Below normal body weight,emaciation|thinness,5B82,Underweight,Below normal weight,unmapped,0,seed,proposed
SAT-D.3317,psychosis,उन्माद,unmāda,psychosis,Mental disorder with loss of reality,insanity|mental derangement,8.00E+40,Peripheral neuropathy,Nerve damage,broader,0.41,seed,proposed
SAT-B.3318,amnesia,अपस्मृति,apasmṛti,amnesia,Loss of memory,memory loss|forgetfulness,6D72,Amnesia,Loss of memory function,broader,0.84,seed,curated
SAT-A.3319,anxiety,चित्तोद्वेग,cittodvega,anxiety,Mental restlessness and worry,nervousness|mental agitation,6B00,Anxiety disorders,Excessive fear or anxiety,broader,0.724,auto,proposed
SID-1.3.20,rheumatism,வாதம்,vātam,rheumatism,Joint and muscle pain disorder,rheumatic pain|joint disorders,FA20,Rheumatoid arthritis,Inflammatory joint disease,related,0.754,auto,curated
SID-4.8.21,biliary disorders,பித்தம்,pittam,biliary disorders,Liver and gallbladder related conditions,bile disorders|hepatic problems,DA90,Liver disorders,Hepatic dysfunction,narrower,0.69,manual,proposed
SID-1.5.22,respiratory congestion,கபம்,kapam,respiratory congestion,Phlegm related respiratory issues,mucus disorders|catarrh,DA94,Inflammatory bowel disease,Chronic intestinal inflammation,unmapped,0,auto,proposed
SID-5.1.23,abdominal tumors,குன்மம்,kunmam,abdominal tumors,Growth in abdominal cavity,gastric mass|abdominal swelling,2A00,Malignant neoplasms,Cancerous growth,related,0.528,manual,approved
SID-5.9.24,lymph node enlargement,கிரந்தி,kiranthi,lymph node enlargement,Swollen lymph glands,lymphadenopathy|glandular swelling,BB01,Stroke,Cerebrovascular accident,related,0.545,manual,approved
UNA-1.1.25,bilious temperament,صفرا,ṣafrā,bilious temperament,Excess of yellow bile humor,choleric humor|hot temperament,ME0Y,Biliary disorders,Bile-related conditions,related,0.695,manual,proposed
UNA-11.6.26,phlegmatic temperament,بلغم,balgham,phlegmatic temperament,Excess of phlegm humor,cold humid temperament|mucus,CA2Y,Respiratory mucus disorders,Excessive mucus production,related,0.564,manual,proposed
UNA-1.6.27,sanguine temperament,دم,dam,sanguine temperament,Blood-related disorders,blood humor|circulation,3A1Y,Blood disorders,Hematological conditions,broader,0.581,seed,approved
UNA-2.6.28,melancholic temperament,سودا,sawdā,melancholic temperament,Black bile excess,melancholic humor|depression,CB41,Pneumonia,Lung infection,narrower,0.319,manual,proposed
UNA-4.2.29,fevers,حمیات,ḥumayāt,fevers,Pyretic conditions,fever disorders|pyrexia,1G00,Fever,Elevated body temperature,related,0.713,manual,approved
SAT-A.3330,indigestion,अजीर्ण,ajīrṇa,indigestion,Impaired digestion due to weakened digestive fire (agni),dyspepsia|poor digestion,1C40,Malaria,Parasitic infection,related,0.645,auto,proposed
SAT-J.3331,diarrhea,अतिसार,atisāra,diarrhea,Excessive loose bowel movements with increased frequency,loose motions|frequent stools,ME05,Diarrhoea,Passage of loose or liquid stools,equivalent,0.998,manual,curated
SAT-B.3332,malabsorption syndrome,ग्रहणी,grahaṇī,malabsorption syndrome,Disorder of small intestine affecting absorption,sprue|absorption disorder,GA11,Endometriosis,Uterine tissue displacement,broader,0.553,auto,proposed
SAT-D.3333,hemorrhoids,अर्श,arśa,hemorrhoids,Swollen blood vessels in anal canal,piles|anal varices,9B71,Haemorrhoids,Swollen veins in the anal canal,equivalent,0.932,auto,approved
SAT-J.3334,asthma,श्वास,śvāsa,asthma,Difficulty in breathing with wheeze,breathing difficulty|dyspnea,NE61,Fractures,Bone breaks,narrower,0.645,manual,proposed
SAT-G.3335,cough,कास,kāsa,cough,Forceful expulsion of air from lungs,tussis|persistent cough,MD12,Cough,Sudden expulsion of air from lungs,equivalent,0.843,manual,curated
SAT-G.3336,hiccup,हिक्का,hikkā,hiccup,Involuntary diaphragmatic spasm,hiccough|spasmodic breathing,8B11,Alzheimer disease,Progressive dementia,narrower,0.526,manual,approved
SAT-H.3337,common cold,प्रतिश्याय,pratiśyāya,common cold,Viral upper respiratory tract infection,rhinitis|nasal congestion,CA08,Acute upper respiratory infections,Viral infection of upper airways,broader,0.832,manual,curated
SAT-E.3338,epilepsy,अपस्मार,apasmāra,epilepsy,Recurrent seizures due to abnormal brain activity,seizure disorder|convulsions,8.00E+40,Peripheral neuropathy,Nerve damage,related,0.646,manual,curated
SAT-I.3339,migraine,अर्धावभेदक,ardhāvabhedaka,migraine,Unilateral throbbing headache,hemicrania|sick headache,8A80.1,Migraine without aura,Primary headache disorder,equivalent,0.899,auto,approved
SAT-A.3340,headache,शिरशूल,śiraśūla,headache,Pain in head and neck region,cephalgia|head pain,8A80,Primary headache disorders,Pain located in head or neck,broader,0.746,auto,approved
SAT-B.3341,hemiplegia,पक्षाघात,pakṣāghāta,hemiplegia,Paralysis of one side of body,stroke|cerebral palsy,8B20,Hemiplegia,Paralysis affecting one side,equivalent,0.916,auto,approved
SAT-E.3342,rheumatoid arthritis,आमवात,āmavāta,rheumatoid arthritis,Joint inflammation with morning stiffness,inflammatory arthritis|joint pain,FA20,Rheumatoid arthritis,Chronic inflammatory joint disease,equivalent,0.775,seed,proposed
SAT-F.3343,osteoarthritis,सन्धिवात,sandhivāta,osteoarthritis,Degenerative joint disease,joint degeneration|arthritis,6A41,Panic disorder,Recurrent panic attacks,narrower,0.646,seed,curated
SAT-H.3344,low back pain,कटिशूल,kaṭiśūla,low back pain,Pain in lumbar region,lumbago|backache,ME84.2,Low back pain,Pain in lower back region,equivalent,0.811,seed,approved
SAT-G.3345,neck stiffness,ग्रीवास्तम्भ,grīvāstambha,neck stiffness,Restricted neck movement,cervical stiffness|torticollis,ME84.1,Neck pain,Pain or stiffness in neck,related,0.787,manual,curated
SAT-A.3346,leprosy,कुष्ठ,kuṣṭha,leprosy,Chronic infectious skin disease,hansen disease|skin infection,1B20,Leprosy,Chronic infectious disease,broader,0.958,seed,approved
SAT-G.3347,eczema,एककुष्ठ,ekakuṣṭha,eczema,Inflammatory skin condition,dermatitis|skin inflammation,FA02,Juvenile arthritis,Childhood joint inflammation,related,0.54,manual,curated
